阿联酋,98.99
葡萄牙,95.04
智利,93.11
文莱,92.44
马耳他,91.92
阿根廷,89.83
不丹,88.44
韩国,87.7
秘鲁,86.46
澳大利亚,86.22
乌拉圭,85.42
塞舌尔,85.32
巴西,84.89
马来西亚,84.06
意大利,84.05
哥伦比亚,82.12
法国,80.12
比利时,79.37
荷兰,78.37
英国,77.52
美国,77.17
瑞典,76.98
希腊,76.21
德国,75.93
奥地利,75.39
伊朗,75.32
立陶宛,72.47
以色列,72.16
拉脱维亚,72.0
印度尼西亚,71.4
印度,71.33
土耳其,67.96
西班牙,65.7
墨西哥,65.7
多米尼加,65.69
爱沙尼亚,64.87
捷克,64.84
斯洛文尼亚,60.85
波兰,59.83
巴基斯坦,58.71
克罗地亚,56.64
俄罗斯,54.87
特立尼达和多巴哥,53.2
阿塞拜疆,52.13
科索沃,50.61
菲律宾,50.53
哈萨克斯坦,49.81
黑山,46.18
危地马拉,43.76
格鲁吉亚,40.38
津巴布韦,37.54
黎巴嫩,37.23
乌克兰,36.29
南非,35.03
罗马尼亚,28.62
伊拉克,25.21
吉尔吉斯斯坦,22.66
