1,1月1日,1,1,100,1
2,2月2日,2,2,200,2
3,3月6日,3,3,300,3
4,4月7日,4,4,400,4
5,5月9日,5,5,500,5
6,6月10日,6,6,600,6
7,7月12日,7,7,700,7
8,8月13日,8,8,800,8
9,9月14日,9,9,900,9
10,10月16日,10,10,1000,10
11,11月17日,11,11,1100,11
12,12月19日,12,12,1200,12
13,1月20日,13,13,1300,13
14,1月1日,14,14,1400,14
15,2月2日,15,15,1500,15
16,3月6日,16,16,1600,16
17,4月7日,17,17,1700,17
18,5月9日,18,18,1800,18
19,6月10日,19,19,1900,19
20,7月12日,20,20,2000,20
21,8月13日,21,21,2100,21
22,9月14日,22,22,2200,22
23,10月16日,23,23,2300,23
24,3月6日,24,24,2400,24
25,4月7日,25,25,2500,25
