1,1号员工,销售部,普通员工,在职
2,2号员工,销售部,普通员工,在职
3,3号员工,销售部,普通员工,在职
4,4号员工,销售部,普通员工,在职
5,5号员工,销售部,普通员工,在职
6,6号员工,销售部,普通员工,在职
7,7号员工,销售部,普通员工,在职
8,8号员工,销售部,普通员工,在职
9,9号员工,销售部,普通员工,在职
10,10号员工,销售部,普通员工,在职
11,11号员工,销售部,普通员工,在职
12,12号员工,销售部,普通员工,在职
13,13号员工,销售部,普通员工,在职
14,14号员工,销售部,普通员工,在职
15,15号员工,销售部,普通员工,在职
16,16号员工,销售部,普通员工,在职
17,17号员工,销售部,普通员工,在职
18,18号员工,销售部,普通员工,在职
19,19号员工,销售部,普通员工,在职
20,20号员工,销售部,普通员工,在职
21,21号员工,销售部,普通员工,在职
22,22号员工,销售部,普通员工,在职
23,23号员工,销售部,普通员工,在职
24,24号员工,销售部,普通员工,在职
25,25号员工,销售部,普通员工,在职
